--- Call started: 2025-10-05T21:42:38.615Z ---
Call ID: CA901a8e59abf1b87307aea1c30d84f9a2
Phone: unknown
---

[2025-10-05T21:42:42.143Z] Event: media
[2025-10-05T21:42:42.163Z] Event: media
[2025-10-05T21:42:42.183Z] Event: media
[2025-10-05T21:42:42.203Z] Event: media
[2025-10-05T21:42:42.223Z] Event: media
[2025-10-05T21:42:42.243Z] Event: media
[2025-10-05T21:42:42.263Z] Event: media
[2025-10-05T21:42:42.283Z] Event: media
[2025-10-05T21:42:42.303Z] Event: media
[2025-10-05T21:42:42.323Z] Event: media
[2025-10-05T21:42:42.343Z] Event: media
[2025-10-05T21:42:42.364Z] Event: media
[2025-10-05T21:42:42.383Z] Event: media
[2025-10-05T21:42:42.403Z] Event: media
[2025-10-05T21:42:42.423Z] Event: media
[2025-10-05T21:42:42.452Z] Event: media
[2025-10-05T21:42:42.463Z] Event: media
[2025-10-05T21:42:42.483Z] Event: media
[2025-10-05T21:42:42.505Z] Event: media
[2025-10-05T21:42:42.523Z] Event: media
[2025-10-05T21:42:42.543Z] Event: media
[2025-10-05T21:42:42.563Z] Event: media
[2025-10-05T21:42:42.583Z] Event: media
[2025-10-05T21:42:42.603Z] Event: media
[2025-10-05T21:42:42.623Z] Event: media
[2025-10-05T21:42:42.643Z] Event: media
[2025-10-05T21:42:42.663Z] Event: media
[2025-10-05T21:42:42.683Z] Event: media
[2025-10-05T21:42:42.703Z] Event: media
[2025-10-05T21:42:42.723Z] Event: media
[2025-10-05T21:42:42.743Z] Event: media
[2025-10-05T21:42:42.763Z] Event: media
[2025-10-05T21:42:42.783Z] Event: media
[2025-10-05T21:42:42.804Z] Event: media
[2025-10-05T21:42:42.823Z] Event: media
[2025-10-05T21:42:42.844Z] Event: media
[2025-10-05T21:42:42.863Z] Event: media
[2025-10-05T21:42:42.883Z] Event: media
[2025-10-05T21:42:42.903Z] Event: media
[2025-10-05T21:42:42.923Z] Event: media
[2025-10-05T21:42:42.943Z] Event: media
[2025-10-05T21:42:42.963Z] Event: media
[2025-10-05T21:42:42.983Z] Event: media
[2025-10-05T21:42:43.003Z] Event: media
[2025-10-05T21:42:43.023Z] Event: media
[2025-10-05T21:42:43.043Z] Event: media
[2025-10-05T21:42:43.063Z] Event: media
[2025-10-05T21:42:43.087Z] Event: media
[2025-10-05T21:42:43.103Z] Event: media
[2025-10-05T21:42:43.123Z] Event: media
[2025-10-05T21:42:43.143Z] Event: media
[2025-10-05T21:42:43.163Z] Event: media
[2025-10-05T21:42:43.183Z] Event: media
[2025-10-05T21:42:43.203Z] Event: media
[2025-10-05T21:42:43.223Z] Event: media
[2025-10-05T21:42:43.243Z] Event: media
[2025-10-05T21:42:43.263Z] Event: media
[2025-10-05T21:42:43.283Z] Event: media
[2025-10-05T21:42:43.303Z] Event: media
[2025-10-05T21:42:43.323Z] Event: media
[2025-10-05T21:42:43.343Z] Event: media
[2025-10-05T21:42:43.363Z] Event: media
[2025-10-05T21:42:43.383Z] Event: media
[2025-10-05T21:42:43.403Z] Event: media
[2025-10-05T21:42:43.423Z] Event: media
[2025-10-05T21:42:43.443Z] Event: media
[2025-10-05T21:42:43.463Z] Event: media
[2025-10-05T21:42:43.483Z] Event: media
[2025-10-05T21:42:43.503Z] Event: media
[2025-10-05T21:42:43.523Z] Event: media
[2025-10-05T21:42:43.543Z] Event: media
[2025-10-05T21:42:43.563Z] Event: media
[2025-10-05T21:42:43.583Z] Event: media
[2025-10-05T21:42:43.603Z] Event: media
[2025-10-05T21:42:43.627Z] Event: media
[2025-10-05T21:42:43.643Z] Event: media
[2025-10-05T21:42:43.663Z] Event: media
[2025-10-05T21:42:43.683Z] Event: media
[2025-10-05T21:42:43.703Z] Event: media
[2025-10-05T21:42:43.723Z] Event: media
[2025-10-05T21:42:43.743Z] Event: media
[2025-10-05T21:42:43.763Z] Event: media
[2025-10-05T21:42:43.783Z] Event: media
[2025-10-05T21:42:43.803Z] Event: media
[2025-10-05T21:42:43.823Z] Event: media
[2025-10-05T21:42:43.843Z] Event: media
[2025-10-05T21:42:43.863Z] Event: media
[2025-10-05T21:42:43.883Z] Event: media
[2025-10-05T21:42:43.907Z] Event: media
[2025-10-05T21:42:43.923Z] Event: media
[2025-10-05T21:42:43.943Z] Event: media
[2025-10-05T21:42:43.963Z] Event: media
[2025-10-05T21:42:43.983Z] Event: media
[2025-10-05T21:42:44.004Z] Event: media
[2025-10-05T21:42:44.023Z] Event: media
[2025-10-05T21:42:44.043Z] Event: media
[2025-10-05T21:42:44.063Z] Event: media
[2025-10-05T21:42:44.083Z] Event: media
[2025-10-05T21:42:44.103Z] Event: media
[2025-10-05T21:42:44.123Z] Event: media
[2025-10-05T21:42:44.143Z] Event: media
[2025-10-05T21:42:44.163Z] Event: media
[2025-10-05T21:42:44.183Z] Event: media
[2025-10-05T21:42:44.203Z] Event: media
[2025-10-05T21:42:44.223Z] Event: media
[2025-10-05T21:42:44.243Z] Event: media
[2025-10-05T21:42:44.263Z] Event: media
[2025-10-05T21:42:44.283Z] Event: media
[2025-10-05T21:42:44.303Z] Event: media
[2025-10-05T21:42:44.323Z] Event: media
[2025-10-05T21:42:44.343Z] Event: media
[2025-10-05T21:42:44.363Z] Event: media
[2025-10-05T21:42:44.383Z] Event: media
[2025-10-05T21:42:44.403Z] Event: media
[2025-10-05T21:42:44.423Z] Event: media
[2025-10-05T21:42:44.444Z] Event: media
[2025-10-05T21:42:44.463Z] Event: media
[2025-10-05T21:42:44.483Z] Event: media
[2025-10-05T21:42:44.503Z] Event: media
[2025-10-05T21:42:44.523Z] Event: media
[2025-10-05T21:42:44.543Z] Event: media
[2025-10-05T21:42:44.563Z] Event: media
[2025-10-05T21:42:44.583Z] Event: media
[2025-10-05T21:42:44.603Z] Event: media
[2025-10-05T21:42:44.623Z] Event: media
[2025-10-05T21:42:44.643Z] Event: media
[2025-10-05T21:42:44.663Z] Event: media
[2025-10-05T21:42:44.683Z] Event: media
[2025-10-05T21:42:44.703Z] Event: media
[2025-10-05T21:42:44.731Z] Event: media
[2025-10-05T21:42:44.743Z] Event: media
[2025-10-05T21:42:44.763Z] Event: media
[2025-10-05T21:42:44.783Z] Event: media
[2025-10-05T21:42:44.808Z] Event: media
[2025-10-05T21:42:44.823Z] Event: media
[2025-10-05T21:42:44.845Z] Event: media
[2025-10-05T21:42:44.863Z] Event: media
[2025-10-05T21:42:44.883Z] Event: media
[2025-10-05T21:42:44.903Z] Event: media
[2025-10-05T21:42:44.923Z] Event: media
[2025-10-05T21:42:44.943Z] Event: media
[2025-10-05T21:42:44.963Z] Event: media
[2025-10-05T21:42:44.983Z] Event: media
[2025-10-05T21:42:45.003Z] Event: media
[2025-10-05T21:42:45.023Z] Event: media
[2025-10-05T21:42:45.043Z] Event: media
[2025-10-05T21:42:45.063Z] Event: media
[2025-10-05T21:42:45.083Z] Event: media
[2025-10-05T21:42:45.103Z] Event: media
[2025-10-05T21:42:45.123Z] Event: media
[2025-10-05T21:42:45.144Z] Event: media
[2025-10-05T21:42:45.163Z] Event: media
[2025-10-05T21:42:45.183Z] Event: media
[2025-10-05T21:42:45.203Z] Event: media
[2025-10-05T21:42:45.223Z] Event: media
[2025-10-05T21:42:45.243Z] Event: media
[2025-10-05T21:42:45.263Z] Event: media
[2025-10-05T21:42:45.283Z] Event: media
[2025-10-05T21:42:45.303Z] Event: media
[2025-10-05T21:42:45.323Z] Event: media
[2025-10-05T21:42:45.344Z] Event: media
[2025-10-05T21:42:45.363Z] Event: media
[2025-10-05T21:42:45.383Z] Event: media
[2025-10-05T21:42:45.403Z] Event: media
[2025-10-05T21:42:45.423Z] Event: media
[2025-10-05T21:42:45.446Z] Event: media
[2025-10-05T21:42:45.463Z] Event: media
[2025-10-05T21:42:45.483Z] Event: media
[2025-10-05T21:42:45.503Z] Event: media
[2025-10-05T21:42:45.523Z] Event: media
[2025-10-05T21:42:45.543Z] Event: media
[2025-10-05T21:42:45.563Z] Event: media
[2025-10-05T21:42:45.584Z] Event: media
[2025-10-05T21:42:45.603Z] Event: media
[2025-10-05T21:42:45.624Z] Event: media
[2025-10-05T21:42:45.643Z] Event: media
[2025-10-05T21:42:45.663Z] Event: media
[2025-10-05T21:42:45.683Z] Event: media
[2025-10-05T21:42:45.703Z] Event: media
[2025-10-05T21:42:45.725Z] Event: media
[2025-10-05T21:42:45.743Z] Event: media
[2025-10-05T21:42:45.763Z] Event: media
