--- Call started: 2025-10-05T22:26:39.003Z ---
Call ID: CA103e59a2720229134a97809bc5bad10c
Phone: unknown
---

[2025-10-05T22:26:42.545Z] USER: Thank you.
[2025-10-05T22:26:42.549Z] Event: media
[2025-10-05T22:26:42.569Z] Event: media
[2025-10-05T22:26:42.589Z] Event: media
[2025-10-05T22:26:42.610Z] Event: media
[2025-10-05T22:26:42.629Z] Event: media
[2025-10-05T22:26:42.649Z] Event: media
[2025-10-05T22:26:42.669Z] Event: media
[2025-10-05T22:26:42.691Z] Event: media
[2025-10-05T22:26:42.709Z] Event: media
[2025-10-05T22:26:42.730Z] Event: media
[2025-10-05T22:26:42.750Z] Event: media
[2025-10-05T22:26:42.769Z] Event: media
[2025-10-05T22:26:42.789Z] Event: media
[2025-10-05T22:26:42.809Z] Event: media
[2025-10-05T22:26:42.829Z] Event: media
[2025-10-05T22:26:42.849Z] Event: media
[2025-10-05T22:26:42.869Z] Event: media
[2025-10-05T22:26:42.889Z] Event: media
[2025-10-05T22:26:42.909Z] Event: media
[2025-10-05T22:26:42.929Z] Event: media
[2025-10-05T22:26:42.949Z] Event: media
[2025-10-05T22:26:42.969Z] Event: media
[2025-10-05T22:26:42.969Z] USER: I ain't talking but you know it.
[2025-10-05T22:26:42.989Z] Event: media
[2025-10-05T22:26:43.010Z] Event: media
[2025-10-05T22:26:43.030Z] Event: media
[2025-10-05T22:26:43.049Z] Event: media
[2025-10-05T22:26:43.069Z] Event: media
[2025-10-05T22:26:43.090Z] Event: media
[2025-10-05T22:26:43.110Z] Event: media
[2025-10-05T22:26:43.129Z] Event: media
[2025-10-05T22:26:43.149Z] Event: media
[2025-10-05T22:26:43.181Z] Event: media
[2025-10-05T22:26:43.193Z] Event: media
[2025-10-05T22:26:43.209Z] Event: media
[2025-10-05T22:26:43.230Z] Event: media
[2025-10-05T22:26:43.249Z] Event: media
[2025-10-05T22:26:43.269Z] Event: media
[2025-10-05T22:26:43.289Z] Event: media
[2025-10-05T22:26:43.309Z] Event: media
[2025-10-05T22:26:43.329Z] Event: media
[2025-10-05T22:26:43.349Z] Event: media
[2025-10-05T22:26:43.369Z] Event: media
[2025-10-05T22:26:43.389Z] Event: media
[2025-10-05T22:26:43.409Z] Event: media
[2025-10-05T22:26:43.429Z] Event: media
[2025-10-05T22:26:43.449Z] Event: media
[2025-10-05T22:26:43.469Z] Event: media
[2025-10-05T22:26:43.490Z] Event: media
[2025-10-05T22:26:43.509Z] Event: media
[2025-10-05T22:26:43.529Z] Event: media
